Macrotrends Data Download,,,
,,,
U.S. Youth Unemployment Rate 1991-2024,,,
,,,
,,,
DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY,,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".,,,
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.,,,
,,,
,,,
date, % of Total Labor Force Ages 15-24, Annual Change, 
31-12-1991,13.418,,
31-12-1992,14.234,0.82,
31-12-1993,13.369,-0.87,
31-12-1994,12.507,-0.86,
31-12-1995,12.149,-0.36,
31-12-1996,12.05,-0.1,
31-12-1997,11.404,-0.65,
31-12-1998,10.403,-1,
31-12-1999,9.887,-0.52,
31-12-2000,9.275,-0.61,
31-12-2001,10.496,1.22,
31-12-2002,11.922,1.43,
31-12-2003,12.345,0.42,
31-12-2004,11.792,-0.55,
31-12-2005,11.226,-0.57,
31-12-2006,10.428,-0.8,
31-12-2007,10.459,0.03,
31-12-2008,12.748,2.29,
31-12-2009,17.509,4.76,
31-12-2010,18.346,0.84,
31-12-2011,17.257,-1.09,
31-12-2012,16.198,-1.06,
31-12-2013,15.524,-0.67,
31-12-2014,13.396,-2.13,
31-12-2015,11.606,-1.79,
31-12-2016,10.409,-1.2,
31-12-2017,9.244,-1.17,
31-12-2018,8.613,-0.63,
31-12-2019,8.371,-0.24,
31-12-2020,14.873,6.5,
31-12-2021,9.706,-5.17,
31-12-2022,7.893,-1.81,
