Macrotrends Data Download,,,,
,,,,
U.S. Foreign Direct Investment 1970-2024,,,,
,,,,
,,,,
DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY,,,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,,
,,,,
,,,,
ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".,,,,
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.,,,,
,,,,
,,,,
date,US Foreign Direct Investment,,, 
31-12-1970,1.22,,,
31-12-1971,0.77,,,
31-12-1972,1.27,,,
31-12-1973,1.93,,,
31-12-1974,3.54,,,
31-12-1975,2.31,,,
31-12-1976,2.91,,,
31-12-1977,2.92,,,
31-12-1978,5.5,,,
31-12-1979,8.05,,,
31-12-1980,16.74,,,
31-12-1981,25.68,,,
31-12-1982,21.23,,,
31-12-1983,11.5,,,
31-12-1984,25.23,,,
31-12-1985,9.63,,,
31-12-1986,30.946,,,
31-12-1987,63.235,,,
31-12-1988,56.91,,,
31-12-1989,75.78,,,
31-12-1990,71.23,,,
31-12-1991,34.55,,,
31-12-1992,30.31,,,
31-12-1993,50.23,,,
31-12-1994,55.94,,,
31-12-1995,69.08,,,
31-12-1996,97.66,,,
31-12-1997,122.15,,,
31-12-1998,211.15,,,
31-12-1999,312.449,,,
31-12-2000,349.125,,,
31-12-2001,172.496,,,
31-12-2002,111.055,,,
31-12-2003,117.106,,,
31-12-2004,213.641,,,
31-12-2005,142.344,,,
31-12-2006,298.463,,,
31-12-2007,346.613,,,
31-12-2008,341.092,,,
31-12-2009,161.083,,,
31-12-2010,264.039,,,
31-12-2011,263.497,,,
31-12-2012,250.345,,,
31-12-2013,288.131,,,
31-12-2014,251.856,,,
31-12-2015,511.434,,,
31-12-2016,474.388,,,
31-12-2017,380.823,,,
31-12-2018,214.715,,,
31-12-2019,314.744,,,
31-12-2020,148.912,,,
31-12-2021,448.324,,,
31-12-2022,351.563,,,
